Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Meteor.header.contexts.Stargate.placeholder",DB17.DBX0.0,Boolean,1,R,100,,,,,,,,,,,
"Meteor.contexts.Stargate.Stargate1.alarm",DB17.W0[200],word Array,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.son",DB17.STRING400.10,string,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.inr",DB17.STRING412.15,string,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.lnr",DB17.STRING429.10,string,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.lotsize",DB17.DINT442,dint,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.act_machine_speed",DB17.INT446,int,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.mode",DB17.INT448,int,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.rfd",DB17.X450.0,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.rfu",DB17.X450.1,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.run",DB17.X450.2,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.idle",DB17.X450.3,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.machine_started",DB17.X450.4,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.positioning_act",DB17.X450.5,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.pos_act_mach_positioned",DB17.X450.6,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.inf_discharge_belt_act",DB17.X450.7,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.link_conveyor_belts_act",DB17.X451.0,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.sorter_act",DB17.X451.1,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.infeed_gate_act",DB17.X451.2,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.run_discharge_empty",DB17.X451.3,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.ipc_100_act",DB17.X451.4,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.dosing_vessel_emtpy_act",DB17.X451.5,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.run_machine_emtpy_act",DB17.X451.6,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.priming_act",DB17.X451.7,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.flushing_act",DB17.X452.0,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.flushing_break_act",DB17.X452.1,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.pre_filter_test_act",DB17.X452.2,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.post_filter_test_act",DB17.X452.3,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.purging_product_line_act",DB17.X452.4,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.leaktest_tube_welt_act",DB17.X452.5,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.permanent_dosing_act",DB17.X452.6,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.plunger_station_act",DB17.X452.7,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.sel_optimize_act",DB17.X453.0,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.total_cont",DB17.DINT454,dint,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.total_tubs",DB17.DINT458,dint,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.tubs",DB17.DINT462,dint,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.filled_cont",DB17.DINT466,dint,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.strokes_priming",DB17.DINT470,dint,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.strokes_flushing",DB17.DINT474,dint,1,R/W,1000,,,,,,,,,,"",
