TagType;Level;ShortName;RTName;DataType;AccessRights;102;103
B;1;CU1256;;;
B;2;meteor;;;
B;3;header;;;
B;4;contexts;;;
B;5;Stargate;;;
B;3;contexts;;;
B;4;Stargate;;;
B;5;Stargate1;;;
L;6;alarms;S7:[1256]DB17,word0,50;2012;RW;0;0
L;6;alarms[0];S7:[1256]DB17,word0;12;RW;0;0
L;6;alarms[1];S7:[1256]DB17,word2;12;RW;0;0
L;6;alarms[2];S7:[1256]DB17,word4;12;RW;0;0
L;6;alarms[3];S7:[1256]DB17,word6;12;RW;0;0
L;6;alarms[4];S7:[1256]DB17,word8;12;RW;0;0
L;6;alarms[5];S7:[1256]DB17,word10;12;RW;0;0
L;6;alarms[6];S7:[1256]DB17,word12;12;RW;0;0
L;6;alarms[7];S7:[1256]DB17,word14;12;RW;0;0
L;6;alarms[8];S7:[1256]DB17,word16;12;RW;0;0
L;6;alarms[9];S7:[1256]DB17,word18;12;RW;0;0
L;6;alarms[10];S7:[1256]DB17,word20;12;RW;0;0
L;6;alarms[11];S7:[1256]DB17,word22;12;RW;0;0
L;6;alarms[12];S7:[1256]DB17,word24;12;RW;0;0
L;6;alarms[13];S7:[1256]DB17,word26;12;RW;0;0
L;6;alarms[14];S7:[1256]DB17,word28;12;RW;0;0
L;6;alarms[15];S7:[1256]DB17,word30;12;RW;0;0
L;6;alarms[16];S7:[1256]DB17,word32;12;RW;0;0
L;6;alarms[17];S7:[1256]DB17,word34;12;RW;0;0
L;6;alarms[18];S7:[1256]DB17,word36;12;RW;0;0
L;6;alarms[19];S7:[1256]DB17,word38;12;RW;0;0
L;6;alarms[20];S7:[1256]DB17,word40;12;RW;0;0
L;6;alarms[21];S7:[1256]DB17,word42;12;RW;0;0
L;6;alarms[22];S7:[1256]DB17,word44;12;RW;0;0
L;6;alarms[23];S7:[1256]DB17,word46;12;RW;0;0
L;6;alarms[24];S7:[1256]DB17,word48;12;RW;0;0
L;6;alarms[25];S7:[1256]DB17,word50;12;RW;0;0
L;6;alarms[26];S7:[1256]DB17,word52;12;RW;0;0
L;6;alarms[27];S7:[1256]DB17,word54;12;RW;0;0
L;6;alarms[28];S7:[1256]DB17,word56;12;RW;0;0
L;6;alarms[29];S7:[1256]DB17,word58;12;RW;0;0
L;6;alarms[30];S7:[1256]DB17,word60;12;RW;0;0
L;6;alarms[31];S7:[1256]DB17,word62;12;RW;0;0
L;6;alarms[32];S7:[1256]DB17,word64;12;RW;0;0
L;6;alarms[33];S7:[1256]DB17,word66;12;RW;0;0
L;6;alarms[34];S7:[1256]DB17,word68;12;RW;0;0
L;6;alarms[35];S7:[1256]DB17,word70;12;RW;0;0
L;6;alarms[36];S7:[1256]DB17,word72;12;RW;0;0
L;6;alarms[37];S7:[1256]DB17,word74;12;RW;0;0
L;6;alarms[38];S7:[1256]DB17,word76;12;RW;0;0
L;6;alarms[39];S7:[1256]DB17,word78;12;RW;0;0
L;6;alarms[40];S7:[1256]DB17,word80;12;RW;0;0
L;6;alarms[41];S7:[1256]DB17,word82;12;RW;0;0
L;6;alarms[42];S7:[1256]DB17,word84;12;RW;0;0
L;6;alarms[43];S7:[1256]DB17,word86;12;RW;0;0
L;6;alarms[44];S7:[1256]DB17,word88;12;RW;0;0
L;6;alarms[45];S7:[1256]DB17,word90;12;RW;0;0
L;6;alarms[46];S7:[1256]DB17,word92;12;RW;0;0
L;6;alarms[47];S7:[1256]DB17,word94;12;RW;0;0
L;6;alarms[48];S7:[1256]DB17,word96;12;RW;0;0
L;6;alarms[49];S7:[1256]DB17,word98;12;RW;0;0
L;6;son;S7:[1256]DB17,string100.10 ;8;RW;0;0
L;6;inr;S7:[1256]DB17,string112.15 ;8;RW;0;0
L;6;lotsize;S7:[1256]DB17,dint130;3;RW;0;0
L;6;mode;S7:[1256]DB17,int150;2;RW;0;0
L;6;rfd;S7:[1256]DB17,X152.0;B;RW;0;0
L;6;rfu;S7:[1256]DB17,X152.1;B;RW;0;0
L;6;run;S7:[1256]DB17,X152.2;B;RW;0;0
L;6;idle;S7:[1256]DB17,X152.3;B;RW;0;0
L;6;machine_started;S7:[1256]DB17,X153.0;B;RW;0;0
L;6;auto;S7:[1256]DB17,X153.1;B;RW;0;0
L;6;manual;S7:[1256]DB17,X153.2;B;RW;0;0
L;6;stellen;S7:[1256]DB17,X153.3;B;RW;0;0
L;6;infeed_blocking;S7:[1256]DB17,X153.4;B;RW;0;0
L;6;product_supply;S7:[1256]DB17,X153.5;B;RW;0;0
L;6;pre_production;S7:[1256]DB17,X153.6;B;RW;0;0
L;6;filling;S7:[1256]DB17,X153.7;B;RW;0;0
L;6;stoppers;S7:[1256]DB17,X154.0;B;RW;0;0
L;6;ipc_sampling;S7:[1256]DB17,X154.1;B;RW;0;0
L;6;reject_all_syringes;S7:[1256]DB17,X154.2;B;RW;0;0
L;6;run_empty;S7:[1256]DB17,X154.3;B;RW;0;0
L;6;start_up;S7:[1256]DB17,X154.4;B;RW;0;0
L;6;priming;S7:[1256]DB17,X154.5;B;RW;0;0
L;6;preproduction;S7:[1256]DB17,X154.6;B;RW;0;0
L;6;recirculation_deactive;S7:[1256]DB17,X154.7;B;RW;0;0
L;6;phase;S7:[1256]DB17,int158;2;RW;0;0
