TagType;Level;ShortName;RTName;DataType;AccessRights;102;103
B;1;CU7308;;;
B;2;meteor;;;
B;3;header;;;
B;4;sections;;;
B;5;Stargate;;;
B;3;sections;;;
B;4;Stargate;;;
B;5;Stargate1;;;
L;6;alarms;S7:[7308]DB59017,word0,50;2012;RW;0;0
L;6;alarms[0];S7:[7308]DB59017,word0;12;RW;0;0
L;6;alarms[1];S7:[7308]DB59017,word2;12;RW;0;0
L;6;alarms[2];S7:[7308]DB59017,word4;12;RW;0;0
L;6;alarms[3];S7:[7308]DB59017,word6;12;RW;0;0
L;6;alarms[4];S7:[7308]DB59017,word8;12;RW;0;0
L;6;alarms[5];S7:[7308]DB59017,word10;12;RW;0;0
L;6;alarms[6];S7:[7308]DB59017,word12;12;RW;0;0
L;6;alarms[7];S7:[7308]DB59017,word14;12;RW;0;0
L;6;alarms[8];S7:[7308]DB59017,word16;12;RW;0;0
L;6;alarms[9];S7:[7308]DB59017,word18;12;RW;0;0
L;6;alarms[10];S7:[7308]DB59017,word20;12;RW;0;0
L;6;alarms[11];S7:[7308]DB59017,word22;12;RW;0;0
L;6;alarms[12];S7:[7308]DB59017,word24;12;RW;0;0
L;6;alarms[13];S7:[7308]DB59017,word26;12;RW;0;0
L;6;alarms[14];S7:[7308]DB59017,word28;12;RW;0;0
L;6;alarms[15];S7:[7308]DB59017,word30;12;RW;0;0
L;6;alarms[16];S7:[7308]DB59017,word32;12;RW;0;0
L;6;alarms[17];S7:[7308]DB59017,word34;12;RW;0;0
L;6;alarms[18];S7:[7308]DB59017,word36;12;RW;0;0
L;6;alarms[19];S7:[7308]DB59017,word38;12;RW;0;0
L;6;alarms[20];S7:[7308]DB59017,word40;12;RW;0;0
L;6;alarms[21];S7:[7308]DB59017,word42;12;RW;0;0
L;6;alarms[22];S7:[7308]DB59017,word44;12;RW;0;0
L;6;alarms[23];S7:[7308]DB59017,word46;12;RW;0;0
L;6;alarms[24];S7:[7308]DB59017,word48;12;RW;0;0
L;6;alarms[25];S7:[7308]DB59017,word50;12;RW;0;0
L;6;alarms[26];S7:[7308]DB59017,word52;12;RW;0;0
L;6;alarms[27];S7:[7308]DB59017,word54;12;RW;0;0
L;6;alarms[28];S7:[7308]DB59017,word56;12;RW;0;0
L;6;alarms[29];S7:[7308]DB59017,word58;12;RW;0;0
L;6;alarms[30];S7:[7308]DB59017,word60;12;RW;0;0
L;6;alarms[31];S7:[7308]DB59017,word62;12;RW;0;0
L;6;alarms[32];S7:[7308]DB59017,word64;12;RW;0;0
L;6;alarms[33];S7:[7308]DB59017,word66;12;RW;0;0
L;6;alarms[34];S7:[7308]DB59017,word68;12;RW;0;0
L;6;alarms[35];S7:[7308]DB59017,word70;12;RW;0;0
L;6;alarms[36];S7:[7308]DB59017,word72;12;RW;0;0
L;6;alarms[37];S7:[7308]DB59017,word74;12;RW;0;0
L;6;alarms[38];S7:[7308]DB59017,word76;12;RW;0;0
L;6;alarms[39];S7:[7308]DB59017,word78;12;RW;0;0
L;6;alarms[40];S7:[7308]DB59017,word80;12;RW;0;0
L;6;alarms[41];S7:[7308]DB59017,word82;12;RW;0;0
